Year,Serie,Value
2015,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática en los últimos 12 meses,62.43
2016,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática en los últimos 12 meses,63.01
2017,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática en los últimos 12 meses,66.16
2019,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática en los últimos 12 meses,70.81
2020,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática en los últimos 12 meses,64.89
2015,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática en los últimos 12 meses,96.50
2016,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática en los últimos 12 meses,100.00
2017,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática en los últimos 12 meses,96.93
2019,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática en los últimos 12 meses,94.50
2020,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática en los últimos 12 meses,82.40
2015,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática en los últimos 12 meses,62.43
2016,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática en los últimos 12 meses,63.01
2017,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática en los últimos 12 meses,66.16
2019,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática en los últimos 12 meses,70.81
