Year,Serie,RefArea,Value
2016,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,España,84.30
2017,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,España,84.50
2018,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,España,83.44
2019,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,España,84.19
2020,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,España,84.09
2021,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,España,84.38
2022,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,España,85.50
2016,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,Cantabria,91.40
2017,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,Cantabria,90.00
2018,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,Cantabria,91.84
2019,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,Cantabria,89.42
2020,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,Cantabria,90.03
2021,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,Cantabria,90.04
2022,Proporción de personas que reciben suministro de agua con cobertura del Sistema Nacional de Aguas de Consumo,Cantabria,90.42
